time	log_type	ation_type	user_id
2023-10-08 22:01:33,003	INFO	приветсвенное сообщение	101180492
2023-10-08 22:01:37,444	INFO	вызов и просмотр статистики	101180492
2023-10-08 22:01:40,125	INFO	начало викторины	101180492
2023-10-08 22:01:42,312	INFO	stats: number_of_all_answers+=1	101180492
2023-10-08 22:01:42,313	INFO	вопрос: Что такое воздух?, ответ: 1, True	101180492
2023-10-08 22:01:42,314	INFO	stats: number_of_right_answers+=1	101180492
2023-10-08 22:01:47,333	INFO	stats: number_of_all_answers+=1	101180492
2023-10-08 22:01:47,334	INFO	вопрос: Какое из веществ входит в основной состав воздуха?, ответ: 4, True	101180492
2023-10-08 22:01:47,335	INFO	stats: number_of_right_answers+=1	101180492
2023-10-08 22:01:51,792	INFO	stats: number_of_all_answers+=1	101180492
2023-10-08 22:01:51,794	INFO	вопрос: Укажи свойство, которого нет у воздуха, ответ: 2, False
2023-10-08 22:01:54,640	INFO	вызов и просмотр статистики	101180492
2023-10-08 22:07:16,640	INFO	приветсвенное сообщение	101180492
2023-10-08 22:07:23,767	INFO	начало викторины	101180492
2023-10-08 22:07:27,690	INFO	stats: number_of_all_answers+=1	101180492
2023-10-08 22:07:27,690	INFO	вопрос: Что такое воздух?, ответ: 1, True	101180492
2023-10-08 22:07:27,691	INFO	stats: number_of_right_answers+=1	101180492
2023-10-08 22:07:30,447	ERROR	неправильный формат ответа. ответ должен быть цифрой от 1 до 4	101180492
2023-10-08 22:07:30,559	INFO	stats: number_of_all_answers+=1	101180492
2023-10-08 22:07:30,561	INFO	вопрос: Какое из веществ входит в основной состав воздуха?, ответ: 5, False
2023-10-08 22:07:36,364	INFO	вызов и просмотр статистики	101180492
